Date,real_close,close_lstm
2020-12-22,129.0,126.989944
2020-12-23,121.0,130.70712
2020-12-28,130.0,129.42978
2020-12-29,130.0,129.85938
2020-12-30,130.0,136.4054
2021-01-04,130.0,136.40543
2021-01-05,127.0,136.40536
2021-01-06,130.0,130.75157
2021-01-07,130.0,131.72722
2021-01-08,122.0,136.15135
2021-01-11,115.0,128.63007
2021-01-12,116.0,124.12336
2021-01-13,118.0,121.0426
2021-01-14,113.0,122.7995
2021-01-15,117.0,121.873535
2021-01-18,110.0,123.29011
2021-01-19,118.0,120.38048
2021-01-20,115.0,126.3131
2021-01-21,116.0,122.11157
2021-01-22,113.0,123.84709
2021-01-25,113.0,122.48869
2021-01-26,111.0,120.4111
2021-01-27,108.0,118.49363
2021-01-28,103.0,117.01645
2021-01-29,103.0,113.31043
2021-02-01,97.0,110.81074
2021-02-02,108.0,106.35426
2021-02-03,105.0,111.41046
2021-02-04,112.0,115.64318
2021-02-05,105.0,114.50121
2021-02-08,102.0,115.52298
2021-02-09,102.0,112.46192
2021-02-10,98.0,110.098465
2021-02-11,107.0,106.88642
2021-02-15,120.0,110.69015
2021-02-16,112.0,122.81598
2021-02-17,109.0,122.47704
2021-02-18,114.0,120.86869
2021-02-19,113.0,118.4644
2021-02-22,112.0,119.50904
2021-02-23,118.0,117.40838
2021-02-24,117.0,123.06479
2021-02-25,116.0,122.898
2021-02-26,118.0,120.61933
2021-03-01,111.0,121.29266
2021-03-02,111.0,121.432945
2021-03-03,115.0,118.53282
2021-03-04,117.0,118.98029
2021-03-05,133.0,123.17921
2021-03-08,136.0,134.13782
2021-03-09,138.0,146.15533
2021-03-10,137.0,142.21959
2021-03-12,142.0,140.95491
2021-03-15,148.0,145.36166
2021-03-16,147.0,149.02513
2021-03-17,141.0,149.87445
2021-03-18,145.0,145.57321
2021-03-19,146.0,151.84323
2021-03-22,170.0,150.46861
2021-03-23,165.0,165.20004
2021-03-24,164.0,170.05872
2021-03-25,153.0,177.31291
