Date,real_close,close_lstm
2020-12-22,129.0,120.10395
2020-12-23,121.0,127.843544
2020-12-28,130.0,123.18769
2020-12-29,130.0,128.20471
2020-12-30,130.0,130.09172
2021-01-04,130.0,130.09164
2021-01-05,127.0,130.09181
2021-01-06,130.0,126.33421
2021-01-07,130.0,128.76093
2021-01-08,122.0,130.02454
2021-01-11,115.0,122.005196
2021-01-12,116.0,116.57537
2021-01-13,118.0,116.490105
2021-01-14,113.0,118.448235
2021-01-15,117.0,114.67925
2021-01-18,110.0,117.53615
2021-01-19,118.0,112.487274
2021-01-20,115.0,120.58085
2021-01-21,116.0,117.47337
2021-01-22,113.0,118.62812
2021-01-25,113.0,116.351036
2021-01-26,111.0,113.15238
2021-01-27,108.0,113.71701
2021-01-28,103.0,110.81909
2021-01-29,103.0,107.08797
2021-02-01,97.0,103.89391
2021-02-02,108.0,99.06481
2021-02-03,105.0,108.55827
2021-02-04,112.0,109.12724
2021-02-05,105.0,111.5683
2021-02-08,102.0,107.69162
2021-02-09,102.0,106.05435
2021-02-10,98.0,104.25013
2021-02-11,107.0,99.02257
2021-02-15,120.0,106.28886
2021-02-16,112.0,124.99796
2021-02-17,109.0,114.93377
2021-02-18,114.0,113.00411
2021-02-19,113.0,114.00307
2021-02-22,112.0,114.16601
2021-02-23,118.0,112.9027
2021-02-24,117.0,120.24881
2021-02-25,116.0,116.77652
2021-02-26,118.0,115.542274
2021-03-01,111.0,118.179825
2021-03-02,111.0,113.341095
2021-03-03,115.0,111.174385
2021-03-04,117.0,114.041954
2021-03-05,133.0,116.93779
2021-03-08,136.0,139.04907
2021-03-09,138.0,147.61191
2021-03-10,137.0,139.3203
2021-03-12,142.0,136.59521
2021-03-15,148.0,141.59193
2021-03-16,147.0,147.13799
2021-03-17,141.0,147.24475
2021-03-18,145.0,142.65373
2021-03-19,146.0,152.33163
2021-03-22,170.0,147.6473
2021-03-23,165.0,170.5825
2021-03-24,164.0,166.06102
2021-03-25,153.0,179.16707
2021-03-26,143.0,160.54929
2021-03-29,155.0,145.77663
2021-03-30,157.0,159.27272
2021-03-31,157.0,159.397
2021-04-01,163.0,159.44292
2021-04-05,163.0,162.08058
2021-04-06,164.0,168.49037
2021-04-07,165.0,164.98247
2021-04-08,166.0,170.79173
2021-04-09,164.0,168.48172
2021-04-12,164.0,164.22379
2021-04-13,170.0,165.42465
2021-04-14,176.0,170.23952
2021-04-15,182.0,180.4243
2021-04-16,185.0,183.95627
2021-04-19,185.0,186.98592
2021-04-20,184.0,188.14082
2021-04-21,185.0,185.9017
2021-04-22,175.0,185.31131
2021-04-23,180.0,186.76488
2021-04-26,182.0,181.6577
2021-04-27,185.0,182.97444
2021-04-28,182.0,185.7684
2021-04-29,175.0,184.7168
2021-04-30,166.0,177.46933
2021-05-03,170.0,168.93462
2021-05-04,172.0,178.67805
2021-05-05,180.0,175.24754
2021-05-06,170.0,181.05244
2021-05-07,168.0,173.30098
2021-05-10,166.0,171.57906
2021-05-11,170.0,166.8117
2021-05-17,166.0,169.97815
2021-05-18,171.0,167.34216
2021-05-19,166.0,170.086
2021-05-20,171.0,167.96576
2021-05-21,170.0,171.37904
2021-05-24,177.0,170.94995
2021-05-25,177.0,176.86203
2021-05-27,177.0,177.67459
2021-05-28,178.0,176.66197
2021-05-31,187.0,178.68094
2021-06-02,185.0,186.9162
2021-06-03,186.0,185.93127
2021-06-04,191.0,186.37422
2021-06-07,190.0,192.27199
2021-06-08,187.0,190.47076
2021-06-09,188.0,187.22855
2021-06-10,188.0,188.84341
2021-06-11,185.0,188.28844
2021-06-14,189.0,186.94612
2021-06-15,185.0,191.52011
2021-06-16,187.0,187.44855
2021-06-17,186.0,187.80501
2021-06-18,197.0,187.01436
2021-06-21,198.0,198.62888
2021-06-22,204.0,201.45848
2021-06-23,194.0,204.0844
2021-06-24,202.0,198.79913
2021-06-25,196.0,201.36467
2021-06-28,202.0,200.82635
2021-06-29,214.0,203.17491
2021-06-30,260.0,214.05524
2021-07-01,242.0,267.79135
2021-07-02,226.0,256.48035
2021-07-05,212.0,228.92438
2021-07-06,240.0,212.85008
2021-07-07,224.0,240.39186
2021-07-08,210.0,243.78793
2021-07-09,196.0,215.93591
2021-07-12,206.0,204.14404
2021-07-13,200.0,215.4481
2021-07-14,204.0,204.91272
2021-07-15,208.0,213.7739
2021-07-16,208.0,211.43903
2021-07-19,210.0,210.31998
2021-07-21,210.0,212.21416
2021-07-22,208.0,214.57436
2021-07-23,204.0,211.33975
2021-07-26,208.0,206.3051
2021-07-27,200.0,213.17638
2021-07-28,199.0,202.46402
2021-07-29,204.0,201.74017
2021-07-30,202.0,206.06303
2021-08-02,198.0,203.48363
2021-08-03,197.0,198.86435
2021-08-04,200.0,196.69025
2021-08-05,202.0,201.43202
2021-08-06,193.0,202.8156
2021-08-09,195.0,195.00198
2021-08-10,195.0,196.00827
2021-08-12,189.0,195.4855
2021-08-13,190.0,192.48642
2021-08-16,178.0,190.61581
2021-08-18,166.0,180.84251
2021-08-19,158.0,171.66028
2021-08-20,153.0,161.48506
2021-08-23,165.0,156.35507
2021-08-24,170.0,164.91765
2021-08-25,180.0,170.88391
2021-08-26,180.0,182.38469
2021-08-27,190.0,184.37773
2021-08-30,177.0,201.09665
2021-08-31,166.0,181.80798
2021-09-01,175.0,171.56169
2021-09-02,180.0,180.15503
2021-09-03,179.0,185.12999
2021-09-06,172.0,181.55069
2021-09-07,175.0,174.73917
2021-09-08,179.0,174.79816
2021-09-09,169.0,179.18414
2021-09-10,168.0,177.607
2021-09-13,168.0,172.65907
2021-09-14,175.0,168.9715
2021-09-15,172.0,174.1457
2021-09-16,178.0,172.74353
2021-09-17,177.0,180.59114
2021-09-20,206.0,177.52988
2021-09-21,193.0,211.27809
2021-09-22,180.0,197.20592
2021-09-23,183.0,183.55528
2021-09-24,178.0,182.86292
2021-09-27,177.0,179.4613
2021-09-28,177.0,178.20943
2021-09-29,179.0,178.16483
2021-09-30,180.0,179.52528
2021-10-01,184.0,180.07123
2021-10-04,183.0,183.67838
2021-10-05,178.0,182.84033
2021-10-06,180.0,178.9279
2021-10-07,180.0,179.64774
2021-10-08,189.0,179.62532
2021-10-11,181.0,190.72623
2021-10-12,183.0,182.87822
2021-10-13,183.0,183.25237
2021-10-14,183.0,183.3732
2021-10-15,179.0,182.33832
2021-10-18,178.0,179.4987
2021-10-19,178.0,177.99321
2021-10-21,170.0,177.65282
2021-10-22,180.0,172.1134
2021-10-25,178.0,179.41862
2021-10-26,175.0,177.70496
2021-10-27,173.0,175.36557
2021-10-28,176.0,173.69098
2021-10-29,175.0,176.04178
2021-11-01,171.0,174.26306
2021-11-02,177.0,171.58752
2021-11-03,171.0,182.35596
2021-11-04,169.0,174.77362
2021-11-05,173.0,172.67075
2021-11-08,174.0,173.94922
2021-11-09,171.0,174.57954
2021-11-10,171.0,172.08371
2021-11-11,171.0,172.10811
2021-11-12,169.0,171.3403
2021-11-15,172.0,169.71075
2021-11-16,172.0,172.04045
2021-11-17,175.0,173.21646
2021-11-18,175.0,175.21898
2021-11-19,173.0,174.63733
2021-11-22,173.0,173.07741
2021-11-23,173.0,172.98125
2021-11-24,175.0,173.05145
2021-11-25,175.0,175.41283
2021-11-26,172.0,175.92418
2021-11-29,170.0,173.52765
2021-11-30,166.0,170.97313
2021-12-01,164.0,166.94736
2021-12-02,156.0,164.73663
2021-12-03,165.0,158.01543
2021-12-06,164.0,165.18483
2021-12-07,162.0,164.75517
2021-12-08,168.0,161.76767
2021-12-09,171.0,168.46318
2021-12-10,162.0,171.52078
2021-12-13,152.0,168.66785
2021-12-14,149.0,154.9959
2021-12-15,149.0,149.67072
2021-12-16,148.0,148.97581
2021-12-17,142.0,147.90646
2021-12-20,144.0,143.785
2021-12-21,148.0,143.94713
2021-12-22,162.0,147.76149
2021-12-23,157.0,160.68446
2021-12-24,151.0,158.37373
2021-12-27,174.0,152.7497
2021-12-28,162.0,171.94725
2021-12-29,155.0,166.37799
2021-12-30,153.0,157.37262
