Date,real_close,close_lstm
2020-12-22,129.0,116.725395
2020-12-23,121.0,121.09945
2020-12-28,130.0,119.40388
2020-12-29,130.0,120.6991
2020-12-30,130.0,126.26117
2021-01-04,130.0,126.26121
2021-01-05,127.0,126.26112
2021-01-06,130.0,120.988335
2021-01-07,130.0,122.285866
2021-01-08,122.0,125.96958
2021-01-11,115.0,118.35541
2021-01-12,116.0,113.38178
2021-01-13,118.0,110.516426
2021-01-14,113.0,112.43764
2021-01-15,117.0,111.041374
2021-01-18,110.0,112.56298
2021-01-19,118.0,109.431564
2021-01-20,115.0,115.913536
2021-01-21,116.0,112.304535
2021-01-22,113.0,113.725784
2021-01-25,113.0,112.29466
2021-01-26,111.0,110.05784
2021-01-27,108.0,108.33629
2021-01-28,103.0,106.929276
2021-01-29,103.0,102.394516
2021-02-01,97.0,100.292206
2021-02-02,108.0,95.480034
2021-02-03,105.0,101.85638
2021-02-04,112.0,105.15389
2021-02-05,105.0,104.425064
2021-02-08,102.0,104.46907
2021-02-09,102.0,101.89877
2021-02-10,98.0,99.55046
2021-02-11,107.0,96.13485
2021-02-15,120.0,100.89176
2021-02-16,112.0,113.464676
2021-02-17,109.0,111.42749
2021-02-18,114.0,109.28747
2021-02-19,113.0,107.93413
2021-02-22,112.0,108.84774
2021-02-23,118.0,107.556046
2021-02-24,117.0,112.83587
2021-02-25,116.0,112.40637
2021-02-26,118.0,110.751915
2021-03-01,111.0,111.824036
2021-03-02,111.0,110.523186
2021-03-03,115.0,108.15344
2021-03-04,117.0,108.72246
2021-03-05,133.0,113.00393
2021-03-08,136.0,124.83891
2021-03-09,138.0,136.91805
2021-03-10,137.0,132.19092
2021-03-12,142.0,130.58528
2021-03-15,148.0,135.70055
2021-03-16,147.0,139.28783
2021-03-17,141.0,140.2426
2021-03-18,145.0,135.90201
2021-03-19,146.0,142.8029
2021-03-22,170.0,140.49184
2021-03-23,165.0,156.93578
2021-03-24,164.0,159.66069
2021-03-25,153.0,167.89682
2021-03-26,143.0,155.09372
2021-03-29,155.0,141.47589
2021-03-30,157.0,147.05246
2021-03-31,157.0,152.03064
2021-04-01,163.0,151.13359
2021-04-05,163.0,152.99962
2021-04-06,164.0,161.12029
2021-04-07,165.0,157.56116
2021-04-08,166.0,163.70361
2021-04-09,164.0,161.6229
2021-04-12,164.0,157.20682
2021-04-13,170.0,155.81587
2021-04-14,176.0,161.84402
2021-04-15,182.0,171.0164
2021-04-16,185.0,175.17168
2021-04-19,185.0,177.93724
2021-04-20,184.0,180.11914
2021-04-21,185.0,178.34212
2021-04-22,175.0,175.25949
2021-04-23,180.0,179.94551
2021-04-26,182.0,172.65887
2021-04-27,185.0,175.61003
2021-04-28,182.0,177.50992
2021-04-29,175.0,176.03505
2021-04-30,166.0,171.79901
2021-05-03,170.0,162.7699
2021-05-04,172.0,168.3261
2021-05-05,180.0,164.25792
2021-05-06,170.0,170.10463
2021-05-07,168.0,167.31573
2021-05-10,166.0,163.48802
2021-05-11,170.0,159.1023
2021-05-17,166.0,159.9235
2021-05-18,171.0,162.00867
2021-05-19,166.0,161.83736
2021-05-20,171.0,162.92555
2021-05-21,170.0,165.04413
2021-05-24,177.0,164.18953
2021-05-25,177.0,168.40477
2021-05-27,177.0,170.93445
2021-05-28,178.0,169.56898
2021-05-31,187.0,171.69763
2021-06-02,185.0,177.183
2021-06-03,186.0,179.07382
2021-06-04,191.0,177.19357
2021-06-07,190.0,182.95248
2021-06-08,187.0,181.52344
2021-06-09,188.0,179.20943
2021-06-10,188.0,179.6325
2021-06-11,185.0,180.22641
2021-06-14,189.0,179.75706
2021-06-15,185.0,183.61821
2021-06-16,187.0,180.23325
2021-06-17,186.0,178.21889
2021-06-18,197.0,180.12614
2021-06-21,198.0,185.17184
2021-06-22,204.0,191.30113
2021-06-23,194.0,192.16772
2021-06-24,202.0,191.81404
2021-06-25,196.0,189.4167
2021-06-28,202.0,193.67824
2021-06-29,214.0,190.97192
2021-06-30,260.0,200.17546
2021-07-01,242.0,235.41322
2021-07-02,226.0,248.91675
2021-07-05,212.0,223.70386
2021-07-06,240.0,204.82858
2021-07-07,224.0,214.76952
2021-07-08,210.0,225.09018
2021-07-09,196.0,209.62836
2021-07-12,206.0,198.38501
2021-07-13,200.0,197.73932
2021-07-14,204.0,195.87703
2021-07-15,208.0,198.39474
2021-07-16,208.0,200.70639
2021-07-19,210.0,199.48257
2021-07-21,210.0,201.45891
2021-07-22,208.0,201.29044
2021-07-23,204.0,201.47144
2021-07-26,208.0,198.8395
2021-07-27,200.0,200.5182
2021-07-28,199.0,194.65796
2021-07-29,204.0,194.66068
2021-07-30,202.0,196.09969
2021-08-02,198.0,195.62862
2021-08-03,197.0,191.55885
2021-08-04,200.0,188.84851
2021-08-05,202.0,191.81662
2021-08-06,193.0,193.1646
2021-08-09,195.0,188.91396
2021-08-10,195.0,188.03903
2021-08-12,189.0,188.5226
2021-08-13,190.0,185.87143
2021-08-16,178.0,182.1651
2021-08-18,166.0,176.25484
2021-08-19,158.0,166.82751
2021-08-20,153.0,156.46054
2021-08-23,165.0,149.7655
2021-08-24,170.0,153.33688
2021-08-25,180.0,161.47672
2021-08-26,180.0,171.30072
2021-08-27,190.0,176.40591
2021-08-30,177.0,182.9879
2021-08-31,166.0,175.71638
2021-09-01,175.0,165.4901
2021-09-02,180.0,166.82944
2021-09-03,179.0,172.54938
2021-09-06,172.0,174.24173
2021-09-07,175.0,169.42183
2021-09-08,179.0,165.991
2021-09-09,169.0,171.51881
2021-09-10,168.0,167.62115
2021-09-13,168.0,165.48947
2021-09-14,175.0,162.79675
2021-09-15,172.0,164.18913
2021-09-16,178.0,166.06322
2021-09-17,177.0,170.43622
2021-09-20,206.0,170.69165
2021-09-21,193.0,190.31856
2021-09-22,180.0,190.60977
2021-09-23,183.0,178.34709
2021-09-24,178.0,174.60405
2021-09-27,177.0,173.88293
2021-09-28,177.0,171.30025
2021-09-29,179.0,172.10191
2021-09-30,180.0,171.51218
2021-10-01,184.0,173.2721
2021-10-04,183.0,175.5286
2021-10-05,178.0,175.67598
2021-10-06,180.0,172.78427
2021-10-07,180.0,172.45326
2021-10-08,189.0,172.45891
2021-10-11,181.0,179.85118
2021-10-12,183.0,177.43231
2021-10-13,183.0,175.74063
2021-10-14,183.0,174.46477
2021-10-15,179.0,174.79414
2021-10-18,178.0,172.21983
2021-10-19,178.0,171.37006
2021-10-21,170.0,170.10846
2021-10-22,180.0,167.22827
2021-10-25,178.0,170.1328
2021-10-26,175.0,170.60327
2021-10-27,173.0,168.9605
2021-10-28,176.0,167.48473
2021-10-29,175.0,169.30031
2021-11-01,171.0,165.94157
2021-11-02,177.0,164.83261
2021-11-03,171.0,169.88007
2021-11-04,169.0,167.35391
2021-11-05,173.0,164.83687
2021-11-08,174.0,165.28912
2021-11-09,171.0,167.53735
2021-11-10,171.0,165.85161
2021-11-11,171.0,166.1246
2021-11-12,169.0,164.31688
2021-11-15,172.0,163.95059
2021-11-16,172.0,165.24588
2021-11-17,175.0,166.4324
2021-11-18,175.0,168.08405
2021-11-19,173.0,166.76929
2021-11-22,173.0,166.63441
2021-11-23,173.0,166.5709
2021-11-24,175.0,166.20438
2021-11-25,175.0,165.89734
2021-11-26,172.0,168.48788
2021-11-29,170.0,165.47926
2021-11-30,166.0,163.49463
2021-12-01,164.0,159.66844
2021-12-02,156.0,158.38391
2021-12-03,165.0,152.92743
2021-12-06,164.0,156.59207
2021-12-07,162.0,159.0239
2021-12-08,168.0,154.28284
2021-12-09,171.0,159.94443
2021-12-10,162.0,163.59074
2021-12-13,152.0,161.27873
2021-12-14,149.0,150.21039
2021-12-15,149.0,144.26735
2021-12-16,148.0,143.85622
2021-12-17,142.0,142.41406
2021-12-20,144.0,139.73705
2021-12-21,148.0,138.81898
2021-12-22,162.0,141.96683
2021-12-23,157.0,150.97755
2021-12-24,151.0,153.35887
2021-12-27,174.0,147.8589
2021-12-28,162.0,156.70355
2021-12-29,155.0,161.10654
2021-12-30,153.0,152.34879
