Date,real_close,close_lstm
2017-10-23,62775.0,62622.555
2017-10-24,62025.0,62620.324
2017-10-25,63000.0,61905.77
2017-10-26,64675.0,62548.06
2017-10-27,66900.0,64129.836
2017-10-30,67675.0,66020.805
2017-10-31,70000.0,66988.266
2017-11-01,71750.0,68636.11
2017-11-02,71925.0,70306.01
2017-11-03,73600.0,70968.734
2017-11-06,73950.0,72222.66
2017-11-07,76800.0,72487.766
2017-11-08,76525.0,74886.664
2017-11-09,77250.0,75410.61
2017-11-10,76000.0,75280.31
2017-11-13,78950.0,75324.56
2017-11-14,75950.0,76995.46
2017-11-15,76950.0,75364.195
2017-11-16,81000.0,76109.39
2017-11-17,77975.0,78500.195
2017-11-20,80375.0,76559.445
2017-11-21,78850.0,79102.27
2017-11-22,77975.0,77609.945
2017-11-23,78000.0,77095.69
2017-11-24,79500.0,77312.22
2017-11-27,79500.0,77979.836
2017-11-28,79850.0,78150.64
2017-11-29,80100.0,78036.78
2017-11-30,76525.0,78806.96
2017-12-01,76525.0,75043.1
2017-12-04,79150.0,76130.52
2017-12-05,80300.0,77527.48
2017-12-06,80325.0,78768.125
2017-12-07,79950.0,79300.08
2017-12-08,80575.0,79082.9
2017-12-11,79850.0,79665.08
2017-12-12,78400.0,79040.39
2017-12-13,78300.0,77805.46
2017-12-14,78300.0,77361.85
2017-12-15,78575.0,77479.93
2017-12-18,81000.0,77043.875
2017-12-19,81000.0,79453.36
2017-12-20,79075.0,79808.17
2017-12-21,81000.0,78108.39
2017-12-22,80950.0,79798.195
2017-12-25,80950.0,79687.445
2017-12-26,80950.0,80404.164
2017-12-27,81400.0,80404.164
2017-12-28,81750.0,80427.52
2017-12-29,83800.0,79989.83
