Date,real_close,close_arima
2017-10-23,198.0,193.23964874677694
2017-10-24,228.0,197.14893287090166
2017-10-25,228.0,222.34922860024267
2017-10-26,228.0,225.63483763867308
2017-10-27,210.0,226.98780175430838
2017-10-30,199.0,212.10126414977512
2017-10-31,199.0,201.4305956207183
2017-11-01,199.0,200.5256473964646
2017-11-02,199.0,199.9945405075036
2017-11-03,199.0,199.6487186000327
2017-11-06,200.0,199.42166860232845
2017-11-07,191.0,200.14192863176027
2017-11-08,191.0,192.31198219943667
2017-11-09,191.0,191.8238217420436
2017-11-10,191.0,191.5162132905083
2017-11-13,191.0,191.32281509843736
2017-11-14,191.0,191.20189295207695
2017-11-15,194.0,191.12637448756618
2017-11-16,193.0,193.67067454564167
2017-11-17,194.0,192.92894988514695
2017-11-20,260.0,193.8176690793315
2017-11-21,324.0,251.55129665225812
2017-11-22,320.0,332.4804046981943
2017-11-23,320.0,316.7440049228937
2017-11-24,400.0,321.4244812670053
2017-11-27,418.0,414.10151552081857
2017-11-28,350.0,413.4910308909899
2017-11-29,416.0,338.45507713260366
2017-11-30,396.0,412.5272367834347
2017-12-01,396.0,396.85943148150096
2017-12-04,410.0,396.167060323716
2017-12-05,374.0,408.75680036022146
2017-12-06,348.0,377.4773957917997
2017-12-07,278.0,350.5669069635557
2017-12-08,258.0,279.36514959516313
2017-12-11,306.0,258.31968113589676
2017-12-12,304.0,305.3177306338045
2017-12-13,284.0,303.8475940907169
2017-12-14,270.0,284.4025549929156
2017-12-15,260.0,266.5388858365944
2017-12-18,240.0,261.70579628276874
2017-12-19,300.0,235.9329342174377
2017-12-20,276.0,298.11922852812654
2017-12-21,258.0,276.5661116846694
2017-12-22,252.0,259.11739119613645
2017-12-25,252.0,252.62815077733651
2017-12-26,252.0,252.18673538780186
2017-12-27,242.0,252.05563893968124
2017-12-28,244.0,242.5316110253081
2017-12-29,256.0,244.0541086756191
