real_price,Close_LSTM
7625.0,7541.243159814831
7475.0,7565.685135159574
7424.999999999999,7418.909043729791
7450.0,7369.9197683332995
7350.0,7394.4182525854185
7350.0,7296.37944173743
7475.0,7296.37944173743
7375.000000000001,7418.909043729791
7200.0,7320.900233816812
7200.0,7149.108570313402
7175.0,7149.108570313402
7200.0,7124.540305043878
7100.0,7149.108570313402
7025.0,7050.798550207242
7000.0,6977.004206319538
6950.0,6952.395043921608
7500.0,6903.160976484244
7575.000000000001,7443.392014206051
7399.999999999999,7516.792735271461
7325.0,7345.413719148059
7275.0,7271.851472916691
7250.0,7222.774528111467
7250.0,7198.225815167996
7125.0,7198.225815167996
7075.0,7075.385159888838
6925.0,7026.206096907242
7025.0,6878.536349797744
7000.0,6977.004206319538
7175.0,6952.395043921608
7300.0,7124.540305043878
7225.0,7247.31645796839
7100.0,7173.670451561205
7100.0,7050.798550207242
7150.0,7050.798550207242
7175.0,7099.96578996677
7050.0,7124.540305043878
7025.0,7001.60793655987
7100.0,6977.004206319538
6975.0,7050.798550207242
6950.0,6927.780587679916
6875.0,6903.160976484244
6850.0,6829.27261065599
6850.0,6804.633779970095
6775.0,6804.633779970095
7000.0,6730.691145882871
6825.0,6952.395043921608
6825.0,6779.99049732661
6875.0,6779.99049732661
6725.0,6829.27261065599
6725.0,6681.375701308674
6650.0,6681.375701308674
6550.0,6607.374886154041
6575.0,6508.661648309123
6700.0,6533.344390311445
6575.0,6656.712304318609
6550.0,6533.344390311445
6475.0,6508.661648309123
6600.0,6434.597767591544
6750.0,6558.0242756799635
6700.0,6706.035363330057
6750.0,6656.712304318609
6575.0,6706.035363330057
6650.0,6533.344390311445
6600.0,6607.374886154041
6725.0,6558.0242756799635
6550.0,6681.375701308674
6575.0,6508.661648309123
6625.0,6533.344390311445
6475.0,6582.701156692024
6475.0,6434.597767591544
6525.0,6434.597767591544
6600.0,6483.976197921387
6475.0,6558.0242756799635
6325.0,6434.597767591544
6225.0,6286.413053520024
6300.0,6187.594204089219
6400.0,6261.709983874917
6325.0,6360.513545266162
6300.0,6286.413053520024
6225.0,6261.709983874917
6100.0,6187.594204089219
6125.0,6064.055286817566
6075.0,6088.763605442896
6125.0,6039.347014092403
6025.0,6088.763605442896
6075.0,5989.931236954457
6050.0,6039.347014092403
