Date,real_close,close_lstm
2021-05-21,170.0,171.1316
2021-05-24,177.0,171.54185
2021-05-25,177.0,173.5527
2021-05-27,177.0,177.68642
2021-05-28,178.0,176.52332
2021-05-31,187.0,177.75154
2021-06-02,185.0,181.99117
2021-06-03,186.0,187.09256
2021-06-04,191.0,182.46495
2021-06-07,190.0,188.4351
2021-06-08,187.0,189.46855
2021-06-09,188.0,184.78477
2021-06-10,188.0,186.75253
2021-06-11,185.0,187.33693
2021-06-14,189.0,189.10959
2021-06-15,185.0,191.7596
2021-06-16,187.0,187.66856
2021-06-17,186.0,183.23007
2021-06-18,197.0,186.62563
2021-06-21,198.0,189.30737
2021-06-22,204.0,199.26047
2021-06-23,194.0,199.10855
2021-06-24,202.0,201.80983
2021-06-25,196.0,195.56882
2021-06-28,202.0,202.56995
2021-06-29,214.0,198.68884
2021-06-30,260.0,208.17284
2021-07-01,242.0,236.52782
2021-07-02,226.0,266.18262
2021-07-05,212.0,235.52759
2021-07-06,240.0,211.27759
2021-07-07,224.0,214.74864
2021-07-08,210.0,233.74303
2021-07-09,196.0,220.71147
2021-07-12,206.0,209.38379
2021-07-13,200.0,204.652
2021-07-14,204.0,203.75789
2021-07-15,208.0,204.45088
2021-07-16,208.0,208.08223
2021-07-19,210.0,207.17006
2021-07-21,210.0,208.73825
2021-07-22,208.0,207.69394
2021-07-23,204.0,209.44727
2021-07-26,208.0,206.45972
2021-07-27,200.0,206.55354
2021-07-28,199.0,203.9284
2021-07-29,204.0,203.53668
2021-07-30,202.0,202.87598
2021-08-02,198.0,203.54695
2021-08-03,197.0,197.98
2021-08-04,200.0,196.25931
2021-08-05,202.0,197.93344
2021-08-06,193.0,201.23451
2021-08-09,195.0,197.25473
2021-08-10,195.0,194.2768
2021-08-12,189.0,194.75536
2021-08-13,190.0,194.41463
2021-08-16,178.0,189.29652
2021-08-18,166.0,185.98433
2021-08-19,158.0,176.72156
2021-08-20,153.0,165.44064
2021-08-23,165.0,158.5289
2021-08-24,170.0,158.86967
2021-08-25,180.0,167.95673
2021-08-26,180.0,176.2449
2021-08-27,190.0,183.94359
2021-08-30,177.0,189.13211
2021-08-31,166.0,186.15085
2021-09-01,175.0,175.2377
2021-09-02,180.0,174.92592
2021-09-03,179.0,179.25993
2021-09-06,172.0,181.51285
2021-09-07,175.0,177.72878
2021-09-08,179.0,171.69177
2021-09-09,169.0,177.10742
2021-09-10,168.0,177.6038
2021-09-13,168.0,175.07878
2021-09-14,175.0,169.49144
2021-09-15,172.0,170.38321
2021-09-16,178.0,174.215
2021-09-17,177.0,177.78966
2021-09-20,206.0,179.35994
2021-09-21,193.0,193.39352
2021-09-22,180.0,200.85664
2021-09-23,183.0,188.41559
2021-09-24,178.0,180.97606
2021-09-27,177.0,181.54408
2021-09-28,177.0,178.35634
2021-09-29,179.0,178.90216
2021-09-30,180.0,178.3532
2021-10-01,184.0,179.83902
2021-10-04,183.0,181.47607
2021-10-05,178.0,182.90683
2021-10-06,180.0,180.94481
2021-10-07,180.0,179.39561
2021-10-08,189.0,179.40048
2021-10-11,181.0,185.58646
2021-10-12,183.0,185.68883
2021-10-13,183.0,181.6069
2021-10-14,183.0,179.47037
2021-10-15,179.0,181.9796
2021-10-18,178.0,180.59987
2021-10-19,178.0,177.94066
2021-10-21,170.0,176.91031
2021-10-22,180.0,175.78436
2021-10-25,178.0,174.80684
2021-10-26,175.0,177.96915
2021-10-27,173.0,176.66862
