Date,real_close,close_lstm
2017-10-23,198.0,197.82364
2017-10-24,228.0,197.82404
2017-10-25,228.0,219.46544
2017-10-26,228.0,226.51262
2017-10-27,210.0,227.01613
2017-10-30,199.0,216.44643
2017-10-31,199.0,200.6911
2017-11-01,199.0,198.79715
2017-11-02,199.0,198.79924
2017-11-03,199.0,198.79924
2017-11-06,200.0,198.79924
2017-11-07,191.0,199.77318
2017-11-08,191.0,191.86046
2017-11-09,191.0,190.9956
2017-11-10,191.0,190.9956
2017-11-13,191.0,190.99556
2017-11-14,191.0,190.95541
2017-11-15,194.0,190.9956
2017-11-16,193.0,193.92233
2017-11-17,194.0,192.94478
2017-11-20,260.0,193.46417
2017-11-21,324.0,241.37746
2017-11-22,320.0,305.23383
2017-11-23,320.0,335.2406
2017-11-24,400.0,311.111
2017-11-27,418.0,367.75995
2017-11-28,350.0,409.5436
2017-11-29,416.0,360.70407
2017-11-30,396.0,391.8388
2017-12-01,396.0,392.79343
2017-12-04,410.0,382.31302
2017-12-05,374.0,396.9902
2017-12-06,348.0,371.6619
2017-12-07,278.0,348.05313
2017-12-08,258.0,297.95282
2017-12-11,306.0,258.48312
2017-12-12,304.0,293.64285
2017-12-13,284.0,301.9276
2017-12-14,270.0,283.0409
2017-12-15,260.0,270.57303
2017-12-18,240.0,258.37943
2017-12-19,300.0,242.5247
2017-12-20,276.0,279.77216
2017-12-21,258.0,285.9018
2017-12-22,252.0,263.83755
2017-12-25,252.0,253.38916
2017-12-26,252.0,250.20644
2017-12-27,242.0,250.20644
2017-12-28,244.0,241.87907
2017-12-29,256.0,247.73195
