Date,real_close,close_arima
2020-12-22,129.0,121.8051145291065
2020-12-23,121.0,129.57877871888743
2020-12-28,130.0,119.49359584885526
2020-12-29,130.0,132.08904938256904
2020-12-30,130.0,127.78423578629443
2021-01-04,130.0,131.14412773940296
2021-01-05,127.0,129.25830717245998
2021-01-06,130.0,127.32347708938856
2021-01-07,130.0,130.2927904001412
2021-01-08,122.0,129.52907817223638
2021-01-11,115.0,121.90411684588568
2021-01-12,116.0,115.75952646747841
2021-01-13,118.0,116.66205067357312
2021-01-14,113.0,117.78914410631009
2021-01-15,117.0,112.70365267005808
2021-01-18,110.0,117.9141354411768
2021-01-19,118.0,108.7911587102656
2021-01-20,115.0,119.84160950855667
2021-01-21,116.0,112.9383744050992
2021-01-22,113.0,117.48755146747335
2021-01-25,113.0,111.8973282415997
2021-01-26,111.0,114.0250921432748
2021-01-27,108.0,110.37711890913029
2021-01-28,103.0,108.52710020880795
2021-01-29,103.0,102.91460960551383
2021-02-01,97.0,103.76700370507756
2021-02-02,108.0,96.45453047773758
2021-02-03,105.0,109.53846337209716
2021-02-04,112.0,102.7563714770758
2021-02-05,105.0,113.73537490314612
2021-02-08,102.0,102.84510298998359
2021-02-09,102.0,103.87048064176184
2021-02-10,98.0,101.39497490669737
2021-02-11,107.0,98.32907469503223
2021-02-15,120.0,107.66303568991233
2021-02-16,112.0,119.09454951002142
2021-02-17,109.0,110.40073253676348
2021-02-18,114.0,110.4408580352766
2021-02-19,113.0,113.82707676520899
2021-02-22,112.0,112.55352929853578
2021-02-23,118.0,112.24269059112223
2021-02-24,117.0,118.21135615283764
2021-02-25,116.0,116.11286977937998
2021-02-26,118.0,116.46232046607969
2021-03-01,111.0,117.91496505459634
2021-03-02,111.0,110.5594479534961
2021-03-03,115.0,112.09097166471354
2021-03-04,117.0,114.67667523078153
2021-03-05,133.0,116.81205335467898
2021-03-08,136.0,133.37805764902637
2021-03-09,138.0,133.8163277005014
2021-03-10,137.0,138.57073956611302
2021-03-12,142.0,136.18711340527202
2021-03-15,148.0,142.7138541678224
