Date,Open,High,Low,Close,Adj Close,Volume
10/07/2017,76300,76725,75850,76500,66566.51563,286000
11/07/2017,76500,76525,75575,75825,65979.16406,490900
12/07/2017,76500,79300,76000,78200,68045.77344,718900
13/07/2017,78000,79300,78000,78900,68654.88281,351800
14/07/2017,78200,78375,76050,76150,66261.96875,715500
17/07/2017,76475,76475,75575,75800,65957.41406,940000
18/07/2017,75825,76750,75825,76750,66784.0625,321300
19/07/2017,76500,76525,75850,76150,66261.96875,616500
20/07/2017,75700,76400,75700,76250,66348.99219,467000
21/07/2017,76450,76500,75650,75700,65870.39844,401400
24/07/2017,75700,77200,75675,76950,66958.08594,857900
25/07/2017,76500,76750,75650,76625,66675.28906,670300
26/07/2017,76850,77000,76075,76100,66218.46094,699800
27/07/2017,76650,78925,76500,78000,67871.75,756400
28/07/2017,78300,80050,77850,79800,69438.01563,976100
31/07/2017,79800,79800,75650,76100,66218.46094,1838800
01/08/2017,76700,76700,72200,72275,62890.13281,1639900
02/08/2017,70400,72500,70200,70400,61258.60547,2465400
03/08/2017,70400,71400,70400,71100,61867.70703,1244300
04/08/2017,71100,71900,69675,71650,62346.28906,1260300
07/08/2017,72200,72375,69100,69500,60475.46484,2050800
08/08/2017,69650,69725,68325,68800,59866.35938,1713400
09/08/2017,68600,68600,65975,66300,57690.98047,3621900
10/08/2017,66575,67450,65500,66900,58213.07422,2255700
11/08/2017,66700,66700,65700,65900,57342.92188,1172700
14/08/2017,66700,67225,66225,66800,58126.0625,1310000
15/08/2017,66800,67600,66550,67325,58582.88672,1154800
16/08/2017,67325,71000,67325,70950,61737.1875,2158100
17/08/2017,70950,70950,70950,70950,61737.1875,0
18/08/2017,71500,74975,69700,74000,64391.14453,3388300
21/08/2017,73975,73975,71275,72300,62911.88672,923100
22/08/2017,72500,72600,70500,70500,61345.61719,937300
23/08/2017,71000,71725,70525,71100,61867.70703,878400
24/08/2017,71500,71500,71000,71300,62041.73828,681000
25/08/2017,70500,72100,70400,71975,62629.08203,880400
28/08/2017,71775,71975,71400,71650,62346.28906,251500
29/08/2017,71550,71750,71200,71500,62215.76563,578200
30/08/2017,71300,71300,68500,68850,59909.86719,1741700
31/08/2017,68900,69200,67875,69200,60214.41797,829400
01/09/2017,69200,69200,69200,69200,60214.41797,0
04/09/2017,69200,69200,67025,67025,58321.84375,868400
05/09/2017,67100,67400,65750,66100,57516.95313,1414000
06/09/2017,66100,67275,65500,66700,58039.04688,1126700
07/09/2017,67000,67500,66900,67125,58408.85938,781000
08/09/2017,67100,67125,65775,66250,57647.48047,1897600
11/09/2017,66300,66400,65800,66125,57538.70703,924300
12/09/2017,66175,66200,65550,65575,57060.125,903400
13/09/2017,65600,66200,65575,65575,57060.125,903600
14/09/2017,65600,69400,65600,69250,60257.92578,2048200
15/09/2017,69225,69550,67525,68000,59170.23828,1776800
18/09/2017,68000,68400,66875,67775,58974.45703,542100
19/09/2017,67000,67750,66850,67125,58408.85938,652800
20/09/2017,67375,68950,67300,68950,59996.88672,448100
21/09/2017,68950,68950,68950,68950,59996.88672,0
22/09/2017,68000,68550,67500,68000,59170.23828,913100
25/09/2017,68000,68000,66525,67150,58430.60938,449700
26/09/2017,67050,67050,65600,65675,57147.14453,878200
27/09/2017,65600,66100,65500,65575,57060.125,980300
28/09/2017,65575,66200,65575,65575,57060.125,635600
29/09/2017,65650,66175,65650,65800,57255.90625,739700
02/10/2017,65850,66325,64650,64775,56364.00781,1189600
03/10/2017,64775,66675,64750,65700,57168.89453,1183300
04/10/2017,65700,66750,65700,66525,57886.76953,657800
05/10/2017,66700,66700,65500,65850,57299.41797,1283000
06/10/2017,66000,66725,65300,66425,57799.75391,849800
09/10/2017,66125,67900,66100,67825,59017.96094,850600
10/10/2017,67500,67700,66025,66250,57647.48047,1160700
11/10/2017,66000,66250,65500,66000,57429.9375,1206700
12/10/2017,65825,66250,65350,65600,57081.87891,1927700
13/10/2017,66000,66000,64125,64200,55863.66797,1914800
16/10/2017,64500,65350,64000,64475,56102.96094,1715800
17/10/2017,65300,65575,64000,64475,56102.96094,992500
18/10/2017,64125,64950,64050,64200,55863.66797,1111500
19/10/2017,64900,65175,63025,63125,54928.25781,1758400
20/10/2017,63125,63800,62350,62500,54384.41406,2631900
23/10/2017,62800,63250,62675,62775,54623.70313,1025700
24/10/2017,62900,63100,61925,62025,53971.08984,963300
25/10/2017,62500,63000,62000,63000,54819.48828,1338100
26/10/2017,63000,65050,62725,64675,56276.99219,1959200
27/10/2017,64250,67100,64250,66900,58213.07422,3154200
30/10/2017,66500,68050,66475,67675,58887.44531,1848300
31/10/2017,68100,71025,67725,70000,60910.53516,3640600
01/11/2017,70100,72000,69000,71750,62433.30859,1585500
02/11/2017,71000,72400,71000,71925,62585.57813,1595300
03/11/2017,72500,73925,72000,73600,64043.08984,1703100
06/11/2017,73600,74500,72500,73950,64347.63672,1703200
07/11/2017,73950,77050,73925,76800,66827.57031,1931200
08/11/2017,75650,77000,75650,76525,66588.28125,1129100
09/11/2017,77000,78150,75500,77250,67219.13281,1873600
10/11/2017,77425,77500,76000,76000,66131.44531,612500
13/11/2017,76000,79100,76000,78950,68698.39063,1565600
14/11/2017,77550,78950,75950,75950,66087.9375,958900
15/11/2017,76950,78050,76950,76950,66958.08594,1051800
16/11/2017,77900,81950,77750,81000,70482.19531,2118600
17/11/2017,81925,83100,77975,77975,67849.99219,1763600
20/11/2017,78300,81000,78250,80375,69938.35938,725900
21/11/2017,79925,80250,78300,78850,68611.375,924300
22/11/2017,78850,79225,77700,77975,67849.99219,663400
23/11/2017,78000,78600,77950,78000,67871.75,531500
24/11/2017,78000,80300,77050,79500,69176.97656,895500
27/11/2017,79500,80700,78300,79500,69176.97656,938600
28/11/2017,79400,80050,78300,79850,69481.52344,1177700
29/11/2017,79850,81200,79150,80100,69699.07031,942800
30/11/2017,79550,80400,76525,76525,66588.28125,2034100
01/12/2017,76525,76525,76525,76525,66588.28125,0
04/12/2017,78150,80325,78150,79150,68872.42188,1698000
05/12/2017,80300,81000,78550,80300,69873.09375,710900
06/12/2017,80300,81500,79700,80325,69894.84375,689200
07/12/2017,80000,80325,79725,79950,69568.53906,451500
08/12/2017,81000,81000,80400,80575,70112.39063,398400
11/12/2017,79750,80250,79750,79850,69481.52344,485200
12/12/2017,81000,81000,78400,78400,68219.80469,335700
13/12/2017,78400,78825,77500,78300,68132.79688,448600
14/12/2017,79275,80200,78300,78300,68132.79688,848700
15/12/2017,79500,79500,77525,78575,68372.08594,1020600
18/12/2017,79800,81000,78800,81000,70482.19531,580400
19/12/2017,80000,81075,79950,81000,70482.19531,593800
20/12/2017,80100,80350,79000,79075,68807.15625,730000
21/12/2017,79975,81100,79700,81000,70482.19531,516700
22/12/2017,81000,81000,79925,80950,70438.6875,431800
25/12/2017,80950,80950,80950,80950,70438.6875,0
26/12/2017,80950,80950,80950,80950,70438.6875,0
27/12/2017,80100,81450,80100,81400,70830.25781,265000
28/12/2017,81500,81750,80225,81750,71134.80469,803800
29/12/2017,81800,83800,81775,83800,72918.61719,876800
01/01/2018,83800,83800,83800,83800,72918.61719,0
02/01/2018,84200,86200,81500,81500,70917.27344,902200
03/01/2018,81600,82850,80000,81350,70786.75,563500
04/01/2018,81550,84000,81500,84000,73092.64844,455000
05/01/2018,84000,84775,83450,84775,73767.01563,516000
08/01/2018,84950,84950,84050,84800,73788.77344,409200
09/01/2018,84800,84800,81600,81600,71004.28125,972600
10/01/2018,82275,83000,81700,83000,72222.5,440400
11/01/2018,83000,83000,82150,82875,72113.72656,346500
12/01/2018,83200,83200,82525,83050,72266.00781,689700
15/01/2018,82500,83125,81900,82000,71352.35156,329200
16/01/2018,82775,84075,82450,84000,73092.64844,557600
17/01/2018,83750,84000,82100,82750,72004.96094,626200
18/01/2018,82950,83800,82600,83600,72744.58594,429000
19/01/2018,83800,84025,82575,84025,73114.39844,479200
22/01/2018,84000,85000,83000,85000,73962.79688,1155900
23/01/2018,85100,86400,82725,85200,74136.82813,1462100
24/01/2018,85300,85575,83750,85275,74202.09375,566000
25/01/2018,85375,85400,83975,84500,73527.72656,524700
26/01/2018,84475,84475,83600,84250,73310.1875,502700
29/01/2018,84250,84475,82000,82200,71526.375,1008900
30/01/2018,82200,82825,80050,80050,69655.55469,903100
31/01/2018,80050,82000,80000,81050,70525.70313,1072600
01/02/2018,81050,82250,81050,81800,71178.32031,604100
02/02/2018,82250,82475,80500,81500,70917.27344,557200
05/02/2018,80500,81750,80400,81700,71091.30469,327700
06/02/2018,80000,82600,79900,82600,71874.4375,1022600
07/02/2018,82600,83600,82600,83250,72440.03125,886700
08/02/2018,83250,83450,83000,83150,72353.02344,578700
09/02/2018,82500,82500,80250,81200,70656.22656,1157500
12/02/2018,81450,81900,78700,79550,69220.47656,1363500
13/02/2018,80200,80925,79900,80000,69612.04688,756700
14/02/2018,80200,80450,79150,80000,69612.04688,558800
15/02/2018,80000,80625,79550,80625,70155.89063,269600
16/02/2018,80625,80625,80625,80625,70155.89063,0
19/02/2018,80625,81925,80600,81925,71287.08594,536400
20/02/2018,82000,82000,80525,81000,70482.19531,371200
21/02/2018,81000,81025,80050,80100,69699.07031,843400
22/02/2018,80100,80850,79600,79650,69307.5,470200
23/02/2018,80400,81600,80150,81400,70830.25781,592300
26/02/2018,81450,81600,79025,79075,68807.15625,674300
27/02/2018,79325,79750,79075,79750,69394.50781,521200
28/02/2018,79750,79750,79000,79750,69394.50781,786800
01/03/2018,79600,80250,79375,79825,69459.76563,430800
02/03/2018,79325,80400,79300,80000,69612.04688,770100
05/03/2018,79375,80350,79150,79200,68915.92188,513700
06/03/2018,80000,80000,79125,79750,69394.50781,461600
07/03/2018,79650,79750,76400,77300,67262.64063,928100
08/03/2018,77700,80200,77700,79950,69568.53906,701500
09/03/2018,79950,79950,77000,78300,68132.79688,638700
12/03/2018,78300,78875,76400,77125,67110.36719,1841100
13/03/2018,77400,77400,73600,73900,64304.125,1580100
14/03/2018,73900,74000,72025,72500,63085.91797,1177500
15/03/2018,72500,75000,72500,74600,64913.23828,1480500
16/03/2018,75000,75200,74000,75200,65435.32422,1020400
19/03/2018,75450,75500,74600,75000,65261.29688,327600
20/03/2018,74600,74725,74175,74475,64804.46484,382900
21/03/2018,74800,75450,74800,74950,65217.78906,738300
22/03/2018,75500,75775,72600,72850,63390.46484,669200
23/03/2018,71500,72000,70550,71000,61780.69531,991300
26/03/2018,71000,71100,69675,70300,61171.58594,2009700
27/03/2018,70250,71775,70000,70700,61519.64453,1029700
28/03/2018,70450,71450,69700,70900,61693.67969,2603500
29/03/2018,71600,72900,71300,72475,63064.16406,1226800
30/03/2018,72475,72475,72475,72475,63064.16406,0
02/04/2018,72575,73500,72000,73400,63869.05078,464700
03/04/2018,73000,73625,72300,73600,64043.08984,691600
04/04/2018,73650,74725,72000,72000,62650.84375,673500
05/04/2018,73000,73500,72650,73150,63651.51563,349100
06/04/2018,74400,74400,73200,73900,64304.125,526400
09/04/2018,73900,75000,73500,74200,64565.17578,550000
10/04/2018,74700,77500,74650,77500,67436.66406,1531200
11/04/2018,77500,78900,76375,77500,67436.66406,1137000
12/04/2018,77500,77500,75100,76650,66697.04688,996000
13/04/2018,76650,77275,75800,76000,66131.44531,929200
16/04/2018,76000,76000,76000,76000,66131.44531,0
17/04/2018,76000,76000,76000,76000,66131.44531,0
18/04/2018,75000,76875,75000,76875,66892.82813,412600
19/04/2018,76875,76875,76875,76875,66892.82813,0
20/04/2018,76875,76875,76875,76875,66892.82813,0
23/04/2018,75500,75525,74075,74075,64456.40625,805600
24/04/2018,74075,74175,72500,72500,63085.91797,721300
25/04/2018,72500,72500,72500,72500,63085.91797,0
26/04/2018,72500,72500,72500,72500,63085.91797,0
27/04/2018,72500,72500,72500,72500,63085.91797,0
30/04/2018,68000,70300,68000,69325,60323.1875,610500
01/05/2018,69325,69325,69325,69325,60323.1875,0
