Date,Open,High,Low,Close,Adj Close,Volume
02/01/2017,4000,4000,4000,4000,3481.111816,0
03/01/2017,3900,5000,3900,4800,4177.333984,3200
04/01/2017,4800,4800,4800,4800,4177.333984,0
05/01/2017,4800,4800,4800,4800,4177.333984,0
06/01/2017,4800,4800,4800,4800,4177.333984,0
09/01/2017,4800,4800,4590,4590,3994.575928,200
10/01/2017,4590,4590,4590,4590,3994.575928,0
11/01/2017,4590,4590,4590,4590,3994.575928,0
12/01/2017,4590,4590,4590,4590,3994.575928,0
13/01/2017,4590,4590,4590,4590,3994.575928,0
16/01/2017,4590,4590,4590,4590,3994.575928,0
17/01/2017,4590,4590,4590,4590,3994.575928,0
18/01/2017,4590,4590,4590,4590,3994.575928,0
19/01/2017,4590,4590,4590,4590,3994.575928,0
20/01/2017,4590,4590,4590,4590,3994.575928,0
23/01/2017,4590,4590,4590,4590,3994.575928,0
24/01/2017,4590,4590,4590,4590,3994.575928,0
25/01/2017,4590,4590,4590,4590,3994.575928,0
26/01/2017,4590,4590,4590,4590,3994.575928,0
27/01/2017,4590,4590,4590,4590,3994.575928,0
30/01/2017,4590,4590,4590,4590,3994.575928,0
31/01/2017,4590,4590,4590,4590,3994.575928,0
01/02/2017,4590,4590,4590,4590,3994.575928,0
02/02/2017,4590,4590,4590,4590,3994.575928,0
03/02/2017,4590,4590,4590,4590,3994.575928,0
06/02/2017,4590,4590,3500,3500,3045.972656,11700
07/02/2017,3500,3500,3400,3400,2958.945313,6600
08/02/2017,3400,3400,3400,3400,2958.945313,200
09/02/2017,3400,3400,3400,3400,2958.945313,0
10/02/2017,3400,3400,3400,3400,2958.945313,0
13/02/2017,3400,3820,3400,3810,3315.759033,200
14/02/2017,3810,3810,3810,3810,3315.759033,0
15/02/2017,3810,3810,3810,3810,3315.759033,0
16/02/2017,3810,3930,3810,3930,3420.192871,2600
17/02/2017,3930,3930,3930,3930,3420.192871,0
20/02/2017,3950,3950,3000,3800,3307.056396,2700
21/02/2017,3800,3800,3800,3800,3307.056396,0
22/02/2017,3300,3300,3300,3300,2871.91748,3300
23/02/2017,3300,3300,3300,3300,2871.91748,0
24/02/2017,3300,3500,3300,3500,3045.972656,2800
27/02/2017,3400,3450,3400,3450,3002.459229,5100
28/02/2017,3450,3450,3450,3450,3002.459229,0
01/03/2017,3450,3450,3450,3450,3002.459229,0
02/03/2017,3450,3450,3450,3450,3002.459229,0
03/03/2017,3450,3450,3450,3450,3002.459229,0
06/03/2017,3450,3450,3450,3450,3002.459229,0
07/03/2017,3700,3700,3700,3700,3220.028564,100
08/03/2017,3700,3700,3700,3700,3220.028564,1600
09/03/2017,3950,3950,3950,3950,3437.5979,100
10/03/2017,3950,3950,3950,3950,3437.5979,0
13/03/2017,3950,3950,3950,3950,3437.5979,0
14/03/2017,3950,3950,3950,3950,3437.5979,0
15/03/2017,3950,3950,3950,3950,3437.5979,0
16/03/2017,3950,3950,3950,3950,3437.5979,0
17/03/2017,3950,3950,3950,3950,3437.5979,0
20/03/2017,3950,3950,3950,3950,3437.5979,0
21/03/2017,3300,3400,3300,3400,2958.945313,5100
22/03/2017,3400,3400,3400,3400,2958.945313,5100
23/03/2017,3400,3450,3400,3450,3002.459229,10000
24/03/2017,3450,3450,3350,3350,2915.431152,6300
27/03/2017,2650,2700,2650,2650,2306.236816,2000
29/03/2017,2700,3100,2700,3100,2697.861816,1500
30/03/2017,3100,3100,3100,3100,2697.861816,0
31/03/2017,3100,3100,3100,3100,2697.861816,0
03/04/2017,3500,3800,3200,3200,2784.889404,11900
04/04/2017,3200,3200,3200,3200,2784.889404,300
05/04/2017,3200,3200,3200,3200,2784.889404,0
06/04/2017,3200,3200,3200,3200,2784.889404,0
07/04/2017,3200,3200,3200,3200,2784.889404,0
10/04/2017,3200,3200,3200,3200,2784.889404,0
11/04/2017,3200,3200,3200,3200,2784.889404,0
12/04/2017,3300,3300,3300,3300,2871.91748,200
13/04/2017,3300,3300,3300,3300,2871.91748,600
17/04/2017,3300,3300,3300,3300,2871.91748,0
18/04/2017,3300,3300,3300,3300,2871.91748,0
19/04/2017,3300,3300,3300,3300,2871.91748,0
20/04/2017,3300,3300,3300,3300,2871.91748,0
21/04/2017,3300,3300,3300,3300,2871.91748,0
