Date,Open,High,Low,Close,Adj Close,Volume
09/06/2017,142,142,137,142,142,800
12/06/2017,142,142,133,142,142,900
13/06/2017,142,142,137,141,141,2700
14/06/2017,142,155,142,154,154,32700
15/06/2017,149,149,140,148,148,2300
16/06/2017,150,151,139,145,145,98900
19/06/2017,145,145,141,143,143,3800
20/06/2017,140,145,137,140,140,4600
21/06/2017,132,140,132,140,140,1500
22/06/2017,134,148,130,138,138,7900
23/06/2017,138,138,138,138,138,0
26/06/2017,138,138,138,138,138,0
27/06/2017,138,138,138,138,138,0
28/06/2017,138,138,138,138,138,0
29/06/2017,138,138,138,138,138,0
30/06/2017,138,138,138,138,138,0
03/07/2017,146,147,134,140,140,2200
04/07/2017,140,140,140,140,140,0
05/07/2017,139,146,139,140,140,2700
06/07/2017,140,145,140,143,143,4700
07/07/2017,137,141,136,141,141,20200
10/07/2017,141,141,141,141,141,0
11/07/2017,141,141,141,141,141,0
12/07/2017,141,146,139,143,143,4500
13/07/2017,143,143,143,143,143,0
14/07/2017,136,143,136,143,143,12900
17/07/2017,139,150,139,144,144,6600
18/07/2017,139,147,130,140,140,13600
19/07/2017,147,147,124,141,141,71200
20/07/2017,135,136,135,135,135,13000
21/07/2017,143,144,139,139,139,8300
24/07/2017,144,144,138,141,141,900
25/07/2017,138,141,118,137,137,9200
26/07/2017,140,142,138,140,140,800
27/07/2017,140,140,139,140,140,1300
28/07/2017,141,143,141,143,143,1100
31/07/2017,143,145,141,145,145,128300
01/08/2017,141,142,138,142,142,55000
02/08/2017,142,142,139,142,142,49500
03/08/2017,142,146,142,144,144,33500
04/08/2017,140,148,140,148,148,14000
07/08/2017,150,150,145,150,150,151100
08/08/2017,140,148,140,148,148,400
09/08/2017,140,148,140,148,148,27200
10/08/2017,150,150,144,144,144,7300
11/08/2017,144,144,144,144,144,0
14/08/2017,149,152,147,152,152,40600
15/08/2017,148,152,148,148,148,164700
16/08/2017,158,159,156,158,158,86600
17/08/2017,158,158,158,158,158,0
18/08/2017,160,179,158,170,170,140600
21/08/2017,170,218,170,218,218,802700
22/08/2017,220,246,206,230,230,1063500
23/08/2017,230,230,202,206,206,121300
24/08/2017,216,216,202,206,206,46900
25/08/2017,206,230,206,230,230,42400
28/08/2017,216,228,216,220,220,28600
29/08/2017,218,220,214,220,220,47100
30/08/2017,220,226,214,218,218,40100
31/08/2017,226,226,210,210,210,6300
01/09/2017,210,210,210,210,210,0
04/09/2017,210,210,210,210,210,0
05/09/2017,210,210,210,210,210,0
06/09/2017,210,218,200,212,212,4100
07/09/2017,216,216,202,202,202,36900
08/09/2017,202,210,202,202,202,3500
11/09/2017,218,218,204,204,204,2400
12/09/2017,202,202,195,195,195,30600
13/09/2017,185,189,185,188,188,4600
14/09/2017,194,194,194,194,194,200
15/09/2017,220,220,220,220,220,300
18/09/2017,220,220,180,200,200,6000
19/09/2017,200,218,200,216,216,8100
20/09/2017,216,216,214,214,214,700
21/09/2017,214,214,214,214,214,0
22/09/2017,214,214,214,214,214,0
25/09/2017,214,214,214,214,214,0
26/09/2017,214,214,214,214,214,0
27/09/2017,204,204,200,204,204,1500
28/09/2017,206,206,190,202,202,21800
29/09/2017,210,210,195,195,195,300
02/10/2017,195,200,190,200,200,1300
03/10/2017,200,200,192,192,192,600
04/10/2017,190,202,190,202,202,1100
05/10/2017,200,200,199,199,199,2700
06/10/2017,199,199,199,199,199,0
09/10/2017,199,199,199,199,199,200
10/10/2017,195,195,185,195,195,56500
11/10/2017,195,195,195,195,195,29000
12/10/2017,195,195,194,194,194,500
13/10/2017,199,199,199,199,199,1200
16/10/2017,195,195,195,195,195,100
17/10/2017,193,193,193,193,193,1000
18/10/2017,193,193,193,193,193,1000
19/10/2017,193,193,193,193,193,600
20/10/2017,198,198,198,198,198,700
23/10/2017,198,198,198,198,198,0
24/10/2017,198,228,198,228,228,62400
25/10/2017,226,228,226,228,228,8900
26/10/2017,228,228,228,228,228,0
27/10/2017,228,232,210,210,210,2000
30/10/2017,210,210,190,199,199,9400
31/10/2017,199,199,199,199,199,3700
01/11/2017,199,199,199,199,199,0
02/11/2017,199,199,199,199,199,0
03/11/2017,199,199,199,199,199,0
06/11/2017,200,200,200,200,200,2100
07/11/2017,200,200,180,191,191,6000
08/11/2017,191,191,191,191,191,0
09/11/2017,191,191,191,191,191,0
10/11/2017,191,191,191,191,191,100
13/11/2017,191,191,191,191,191,70700
14/11/2017,191,191,191,191,191,0
15/11/2017,194,194,194,194,194,200
16/11/2017,193,193,193,193,193,3700
17/11/2017,193,194,192,194,194,20100
20/11/2017,195,260,195,260,260,1111600
21/11/2017,268,324,268,324,324,790600
22/11/2017,336,402,320,320,320,1544800
23/11/2017,320,340,274,320,320,441500
